Id,Story,Labels,Iteration,Iteration Start,Iteration End,Story Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Owned By,Description,URL
22514313,Organize codebase according to gem conventions,"",1,"Dec 19, 2011","Jan 15, 2012",feature,1,accepted,"Dec 19, 2011","Dec 19, 2011",,Jared Owen Beck,Jared Owen Beck,http://guides.rubygems.org/what-is-a-gem/,http://www.pivotaltracker.com/story/show/22514313
22517575,"Gem interface should take data structures, not file paths","",1,"Dec 19, 2011","Jan 15, 2012",feature,2,accepted,"Dec 20, 2011","Jan 1, 2012",,Jared Owen Beck,Jared Owen Beck,The code that loads a person set from a file could be moved to a test helper.,http://www.pivotaltracker.com/story/show/22517575
22841267,Score groups are paired using split-and-shift,"",27,"Dec 16, 2013","Jan 12, 2014",feature,,unstarted,"Jan 1, 2012",,,Jared Owen Beck,,"See Phil's notes on penalty function:

It is important to set various priorities at different numerical scales. For example, the most important consideration is to minimize the McMahon score difference between opponents, with the split-and-shift pairing system coming as a later concern. This could be accomplished by defining a penalty function ... ",http://www.pivotaltracker.com/story/show/22841267
22841225,No two people should ever get paired twice,"",27,"Dec 16, 2013","Jan 12, 2014",feature,,unstarted,"Jan 1, 2012",,,Jared Owen Beck,,,http://www.pivotaltracker.com/story/show/22841225
22841243,Odd-numbered field results in a forced bye,"",27,"Dec 16, 2013","Jan 12, 2014",feature,,unstarted,"Jan 1, 2012",,,Jared Owen Beck,,"If there are an odd number of players remaining in the tournament after awarding all of the voluntary byes, it will not be possible to pair everyone in the field. In this case, one player must receive a forced bye. If the Tournament Director previously identified a “bye volunteer”, this player is awarded a forced bye and is not paired for the round. If no bye volunteer is available, then one will be selected during the pairing process.

The selected player is the one with lowest rating who has not already received a forced bye and who will allow a valid pairing to be created with the remaining players. If no such player exists in the lowest score group, the pairings in successively higher score groups are undone until a bye recipient can be found.",http://www.pivotaltracker.com/story/show/22841243
22517499,0.1 Can pair multiple rounds and report winners,"",27,"Dec 16, 2013","Jan 12, 2014",release,,unstarted,"Dec 20, 2011",,,Jared Owen Beck,,,http://www.pivotaltracker.com/story/show/22517499
22841291,Documentation should describe how TDs can remove a volunteer from the player set to avoid forced byes,"",27,"Dec 16, 2013","Jan 12, 2014",feature,,unstarted,"Jan 1, 2012",,,Jared Owen Beck,,,http://www.pivotaltracker.com/story/show/22841291
22841245,A player is never assigned a second forced bye,"",27,"Dec 16, 2013","Jan 12, 2014",feature,,unstarted,"Jan 1, 2012",,,Jared Owen Beck,,"A player is not assigned a second forced bye unless he volunteers for it. A player may ask for any number of voluntary byes, however.",http://www.pivotaltracker.com/story/show/22841245
22517509,0.2 Support for byes and other tournament director tomfoolery,"",27,"Dec 16, 2013","Jan 12, 2014",release,,unstarted,"Dec 20, 2011",,,Jared Owen Beck,,,http://www.pivotaltracker.com/story/show/22517509
22841255,A player should not be assigned the same color more than three times in a row,"",27,"Dec 16, 2013","Jan 12, 2014",feature,,unstarted,"Jan 1, 2012",,,Jared Owen Beck,,"A player should not be assigned the same color more than three times in a row, or for more than 50% of the rounds in a tournament in any case. Some Tournament Directors do not apply this principle, while others allow players to select color by nigiri.",http://www.pivotaltracker.com/story/show/22841255
22841275,"Avoid pairing of players from the same state, city, club, etc.","",27,"Dec 16, 2013","Jan 12, 2014",feature,,unstarted,"Jan 1, 2012",,,Jared Owen Beck,,,http://www.pivotaltracker.com/story/show/22841275
22841279,0.3 Less important niceties,"",27,"Dec 16, 2013","Jan 12, 2014",release,,unstarted,"Jan 1, 2012",,,Jared Owen Beck,,,http://www.pivotaltracker.com/story/show/22841279
